PAR,9,25,64,4868568
LIN,9,25,1,207363720
PAR,10,21,64,1239153
LIN,10,21,1,14555875
PAR,11,30,64,206135247
LIN,11,30,1,9468668126
PAR,12,21,64,1551840
LIN,12,21,1,20663297
PAR,13,39,64,69960117619
PAR,22,2,64,22639
LIN,22,2,1,234
PAR,23,4,64,35714
LIN,23,4,1,362
PAR,24,5,64,55129
LIN,24,5,1,412
PAR,25,8,64,79609
LIN,25,8,1,2392
PAR,26,9,64,88045
LIN,26,9,1,4357
PAR,27,12,64,90811
LIN,27,12,1,31593
PAR,28,10,64,64289
LIN,28,10,1,9450
PAR,29,12,64,86555
LIN,29,12,1,31467
PAR,30,16,64,146344
LIN,30,16,1,505349
PAR,31,18,64,243588
LIN,31,18,1,1993292
PAR,32,18,64,268672
LIN,32,18,1,2007746
PAR,33,21,64,573742
LIN,33,21,1,15022412
PAR,34,24,64,3350800
LIN,34,24,1,104987467
PAR,35,26,64,11660940
LIN,35,26,1,413879567
PAR,36,28,64,35239274
LIN,36,28,1,1647802617
PAR,37,29,64,67495048
LIN,37,29,1,3301692203
PAR,38,27,64,16368341
LIN,38,27,1,823984440
PAR,39,29,64,63222752
LIN,39,29,1,3296241172
PAR,40,31,64,251214545
LIN,40,31,1,13453758101
PAR,41,34,64,2203361792
LIN,41,34,1,106836937222
PAR,42,35,64,4463485451
PAR,43,36,64,7888565484
PAR,44,40,64,114714281044
PAR,45,39,64,71096303219
PAR,46,42,64,515717584026
PAR,47,43,64,1132300114743
PAR,48,43,64,918070789556
PAR,49,41,64,293262729704
PAR,50,40,64,129246007470
PAR,1,2,64,24089
LIN,1,2,1,160
PAR,2,2,64,29866
LIN,2,2,1,73
PAR,3,2,64,24795
LIN,3,2,1,137
PAR,4,3,64,34386
LIN,4,3,1,196
PAR,5,4,64,32541
LIN,5,4,1,363
PAR,6,5,64,45498
LIN,6,5,1,692
PAR,7,20,64,436346
LIN,7,20,1,8310259
PAR,8,21,64,775034
LIN,8,21,1,14919421
PAR,9,25,64,4520215
LIN,9,25,1,208446607
PAR,10,21,64,1325681
LIN,10,21,1,15023733
PAR,11,30,64,206066999
LIN,11,30,1,8864875811
PAR,12,21,64,1644502
LIN,12,21,1,22038848
PAR,13,39,64,69778632545
PAR,22,2,64,28667
LIN,22,2,1,295
PAR,23,4,64,33491
LIN,23,4,1,349
PAR,24,5,64,35316
LIN,24,5,1,539
PAR,25,8,64,52369
LIN,25,8,1,2129
PAR,26,9,64,83465
LIN,26,9,1,4363
PAR,27,12,64,90653
LIN,27,12,1,32075
PAR,28,10,64,72441
LIN,28,10,1,9404
PAR,29,12,64,100892
LIN,29,12,1,31428
PAR,30,16,64,173252
LIN,30,16,1,509829
PAR,31,18,64,303217
LIN,31,18,1,2050652
PAR,32,18,64,265845
LIN,32,18,1,2048947
PAR,33,21,64,608774
LIN,33,21,1,15607673
PAR,34,24,64,2900380
LIN,34,24,1,110432261
PAR,35,26,64,10789208
LIN,35,26,1,413699425
PAR,36,28,64,34635792
LIN,36,28,1,1649177306
PAR,37,29,64,70444966
LIN,37,29,1,3298242754
PAR,38,27,64,16542248
LIN,38,27,1,824575493
PAR,39,29,64,62559704
LIN,39,29,1,3298284287
PAR,40,31,64,244990000
LIN,40,31,1,13585525790
PAR,41,34,64,2033529225
LIN,41,34,1,106249326823
PAR,42,35,64,4460375404
PAR,43,36,64,7935637686
PAR,44,40,64,117032865371
PAR,45,39,64,71773118288
PAR,46,42,64,516550961063
PAR,47,43,64,1138391346495
PAR,48,43,64,941307097193
PAR,49,41,64,295117853650
PAR,50,40,64,129995007965
PAR,1,2,64,18561
LIN,1,2,1,218
PAR,2,2,64,14743
LIN,2,2,1,80
PAR,3,2,64,29774
LIN,3,2,1,119
PAR,4,3,64,29572
LIN,4,3,1,185
PAR,5,4,64,37533
LIN,5,4,1,369
PAR,6,5,64,46600
LIN,6,5,1,601
PAR,7,20,64,427279
LIN,7,20,1,8325660
PAR,8,21,64,764175
LIN,8,21,1,14586773
PAR,9,25,64,5091560
LIN,9,25,1,207784181
PAR,10,21,64,1207735
LIN,10,21,1,14836589
PAR,11,30,64,207459293
LIN,11,30,1,8167865579
PAR,12,21,64,1768377
LIN,12,21,1,20027621
PAR,13,39,64,70214645774
PAR,22,2,64,23777
LIN,22,2,1,198
PAR,23,4,64,27911
LIN,23,4,1,328
PAR,24,5,64,48958
LIN,24,5,1,377
PAR,25,8,64,85553
LIN,25,8,1,2343
PAR,26,9,64,56807
LIN,26,9,1,4598
PAR,27,12,64,105777
LIN,27,12,1,31684
PAR,28,10,64,89005
LIN,28,10,1,9835
PAR,29,12,64,91751
LIN,29,12,1,34495
PAR,30,16,64,207092
LIN,30,16,1,509653
PAR,31,18,64,337247
LIN,31,18,1,2080557
PAR,32,18,64,277439
LIN,32,18,1,2052411
PAR,33,21,64,558107
LIN,33,21,1,15227566
PAR,34,24,64,3142010
LIN,34,24,1,104581394
PAR,35,26,64,11511883
LIN,35,26,1,414619135
PAR,36,28,64,35584981
LIN,36,28,1,1647269893
PAR,37,29,64,69320434
LIN,37,29,1,3310352677
PAR,38,27,64,15832010
LIN,38,27,1,825427174
PAR,39,29,64,67205052
LIN,39,29,1,3563140868
PAR,40,31,64,247984264
LIN,40,31,1,13379785492
PAR,41,34,64,2053433486
LIN,41,34,1,106713376410
PAR,42,35,64,4484400557
PAR,43,36,64,7936048114
PAR,44,40,64,115194273703
PAR,45,39,64,71021105978
PAR,46,42,64,544757739444
PAR,47,43,64,1178785659453
PAR,48,43,64,922530998184
PAR,49,41,64,293182867485
PAR,50,40,64,129584039782
PAR,1,2,64,23071
LIN,1,2,1,192
PAR,2,2,64,9372
LIN,2,2,1,80
PAR,3,2,64,21110
LIN,3,2,1,150
PAR,4,3,64,31421
LIN,4,3,1,205
PAR,5,4,64,33881
LIN,5,4,1,339
PAR,6,5,64,70301
LIN,6,5,1,552
PAR,7,20,64,453290
LIN,7,20,1,8372415
PAR,8,21,64,746805
LIN,8,21,1,14007384
PAR,9,25,64,4562347
LIN,9,25,1,208280790
PAR,10,21,64,1424689
LIN,10,21,1,14076000
PAR,11,30,64,206885380
LIN,11,30,1,8189236457
PAR,12,21,64,1617568
LIN,12,21,1,20020094
PAR,13,39,64,70358241086
